id,width,height,hotspot_x,hotspot_y,visible_pixels,visible_colors,aspect_ratio,localization_family
193,35,54,61,232,1347,16,0.648,
194,35,54,61,231,1340,16,0.648,
195,35,51,61,232,1311,16,0.686,
196,35,51,61,233,1306,16,0.686,
197,35,53,61,232,1310,16,0.660,
198,35,54,61,231,1341,16,0.648,
199,35,54,61,232,1353,16,0.648,
200,35,54,64,232,1309,15,0.648,
201,35,54,64,232,1334,15,0.648,
202,35,54,64,232,1345,14,0.648,
203,35,54,64,232,1329,14,0.648,
204,35,54,64,232,1335,14,0.648,
205,35,54,64,232,1329,14,0.648,
206,35,54,64,232,1335,14,0.648,
207,35,54,64,232,1329,14,0.648,
208,35,54,64,232,1335,14,0.648,
209,39,54,64,232,1409,20,0.722,
210,44,54,64,232,1469,20,0.815,
211,44,54,64,232,1471,20,0.815,
212,44,54,64,232,1469,20,0.815,
213,44,54,64,232,1467,20,0.815,
214,44,54,64,232,1469,20,0.815,
215,44,54,64,232,1471,20,0.815,
216,42,55,65,231,1461,21,0.764,
217,39,56,65,230,1402,19,0.696,
218,36,58,65,228,1426,20,0.621,
219,34,72,66,214,1477,20,0.472,
220,36,86,67,200,1483,21,0.419,
221,34,99,66,187,1476,20,0.343,
222,34,108,65,178,1463,20,0.315,
223,34,117,64,168,1467,20,0.291,
224,34,122,63,162,1476,20,0.279,
225,34,128,64,157,1461,20,0.266,
226,34,133,65,153,1463,20,0.256,
227,34,134,66,152,1474,20,0.254,
228,36,129,67,157,1499,23,0.279,
229,34,124,66,162,1483,22,0.274,
230,33,116,65,170,1493,22,0.284,
231,32,107,64,178,1499,23,0.299,
232,32,96,63,188,1525,23,0.333,
233,32,86,64,199,1501,23,0.372,
234,33,76,65,210,1507,23,0.434,
235,33,62,65,224,1422,23,0.532,
236,33,59,65,227,1399,17,0.559,
237,33,59,65,227,1399,17,0.559,
238,33,59,65,227,1399,17,0.559,
239,34,56,65,230,1358,14,0.607,
240,34,55,65,231,1344,15,0.618,
241,27,65,68,218,1113,25,0.415,
242,26,67,67,217,1147,25,0.388,
243,26,67,68,218,1163,25,0.388,
244,28,67,68,219,1117,24,0.418,
245,26,68,68,218,1091,25,0.382,
246,24,64,68,217,1025,25,0.375,
247,23,64,68,218,1048,24,0.359,
248,28,64,68,219,1077,24,0.438,
249,25,68,67,218,1121,28,0.368,
250,22,68,70,217,1118,28,0.324,
251,28,66,64,218,1123,28,0.424,
252,26,65,67,219,1095,28,0.400,
253,24,65,69,218,1081,28,0.369,
254,22,65,70,217,1052,28,0.338,
255,25,65,67,218,1073,28,0.385,
256,30,68,65,219,1121,28,0.441,
257,27,65,65,218,1113,25,0.415,
258,26,67,67,217,1147,25,0.388,
259,26,67,66,218,1163,25,0.388,
260,28,67,64,219,1117,24,0.418,
261,26,68,66,218,1091,25,0.382,
262,24,64,68,217,1025,25,0.375,
263,23,64,69,218,1048,24,0.359,
264,28,64,64,219,1077,24,0.438,
265,25,68,68,218,1121,28,0.368,
266,22,68,68,217,1118,28,0.324,
267,28,66,68,218,1121,28,0.424,
268,26,65,67,219,1095,28,0.400,
269,24,65,67,218,1081,28,0.369,
270,22,65,68,217,1052,28,0.338,
271,25,65,68,218,1073,28,0.385,
272,30,68,65,219,1121,28,0.441,
273,82,71,13,220,1135,16,1.155,
274,27,65,66,219,1107,18,0.415,
275,25,65,66,220,1114,16,0.385,
276,26,65,66,221,1070,15,0.400,
277,25,66,66,220,1052,16,0.379,
278,25,62,66,219,997,17,0.403,
279,25,62,66,220,1034,16,0.403,
280,29,62,66,221,1061,15,0.468,
281,24,66,69,220,1050,21,0.364,
282,24,66,69,219,1050,21,0.364,
283,25,64,68,220,1085,22,0.391,
284,26,63,67,221,1059,21,0.413,
285,24,63,69,220,1070,22,0.381,
286,24,63,69,219,1046,21,0.381,
287,24,65,69,220,1051,21,0.369,
288,25,66,68,221,1050,21,0.379,
289,82,71,65,220,1135,16,1.155,
290,27,65,67,219,1107,18,0.415,
291,25,65,69,220,1114,16,0.385,
292,26,65,68,221,1070,15,0.400,
293,25,66,69,220,1052,16,0.379,
294,25,62,69,219,997,17,0.403,
295,25,62,69,220,1034,16,0.403,
296,29,62,65,221,1061,15,0.468,
297,24,66,67,220,1050,21,0.364,
298,24,66,67,219,1050,21,0.364,
299,25,64,67,220,1085,22,0.391,
300,26,63,67,221,1059,21,0.413,
301,24,63,67,220,1070,22,0.381,
302,24,63,67,219,1046,21,0.381,
303,24,65,67,220,1051,21,0.369,
304,25,66,67,221,1050,21,0.379,
305,32,51,63,236,1161,19,0.627,
306,31,52,63,235,1168,19,0.596,
307,31,51,63,234,1180,19,0.608,
308,31,49,63,235,1149,19,0.633,
309,31,49,63,236,1142,19,0.633,
310,31,50,63,235,1157,19,0.620,
311,31,52,63,234,1180,19,0.596,
312,31,52,63,235,1169,19,0.596,
313,32,53,66,232,1209,21,0.604,
314,32,53,66,231,1211,21,0.604,
315,32,53,66,230,1237,21,0.604,
316,32,54,66,231,1233,21,0.593,
317,32,53,66,232,1217,21,0.604,
318,32,54,66,231,1231,21,0.593,
319,32,53,66,230,1224,21,0.604,
320,32,56,66,231,1242,21,0.571,
321,32,51,65,236,1161,19,0.627,
322,31,52,66,235,1168,19,0.596,
323,31,51,66,234,1180,19,0.608,
324,31,49,66,235,1149,19,0.633,
325,31,49,66,236,1142,19,0.633,
326,31,50,66,235,1157,19,0.620,
327,31,52,66,234,1180,19,0.596,
328,31,52,66,235,1169,19,0.596,
329,32,53,62,232,1209,21,0.604,
330,32,53,62,231,1211,21,0.604,
331,32,53,62,230,1237,21,0.604,
332,32,54,62,231,1233,21,0.593,
333,32,53,62,232,1217,21,0.604,
334,32,54,62,231,1231,21,0.593,
335,32,53,62,230,1224,21,0.604,
336,32,56,62,231,1242,21,0.571,
337,32,55,62,61,1249,21,0.582,
338,32,55,66,61,1249,21,0.582,
339,31,51,66,66,1149,19,0.608,
340,31,51,63,66,1149,19,0.608,
341,32,55,66,231,1243,21,0.582,
342,32,55,62,231,1243,21,0.582,
343,26,67,68,49,1169,23,0.388,
344,25,68,69,49,1167,28,0.368,
345,26,67,67,49,1169,23,0.388,
346,25,68,66,49,1167,28,0.368,
347,22,69,70,217,1156,28,0.319,
348,22,69,68,217,1156,28,0.319,
349,24,65,67,50,1042,15,0.369,
350,24,66,70,50,1069,21,0.364,
351,24,65,69,50,1042,15,0.369,
352,24,66,66,50,1069,21,0.364,
353,24,66,70,220,1078,22,0.364,
354,24,66,66,220,1078,22,0.364,
355,1,1,0,0,0,0,1.000,
356,33,33,398,445,866,9,1.000,
357,430,421,2,13,1732,9,1.021,
358,430,400,1,22,2716,15,1.075,
359,427,400,1,22,3943,14,1.067,
360,427,400,1,22,5191,14,1.067,
361,426,400,1,22,6429,14,1.065,
362,427,400,1,22,7663,14,1.067,
363,427,400,1,22,8899,14,1.067,
364,427,400,1,22,10123,14,1.067,
365,410,422,10,12,11329,17,0.972,
366,410,422,10,12,12567,17,0.972,
367,410,422,10,12,13793,17,0.972,
368,410,422,10,12,15041,17,0.972,
369,410,422,10,12,16289,17,0.972,
370,410,422,10,12,17513,17,0.972,
371,410,422,10,12,18737,17,0.972,
372,431,422,1,12,19515,17,1.021,
373,431,422,1,12,21799,17,1.021,
374,431,422,1,12,29487,17,1.021,
375,431,422,1,12,42379,17,1.021,
381,40,67,58,218,1236,27,0.597,
382,37,64,60,223,1136,27,0.578,
383,37,59,61,228,1054,27,0.627,
384,38,54,60,232,1025,26,0.704,
385,39,51,59,235,1004,26,0.765,
386,41,49,58,237,1001,25,0.837,
387,41,48,58,238,986,26,0.854,
388,41,48,58,238,985,26,0.854,
389,41,49,58,237,996,26,0.837,
390,39,51,59,235,993,26,0.765,
391,37,54,61,232,1037,26,0.685,
392,36,58,61,228,1113,26,0.621,
393,39,63,58,223,1208,26,0.619,
394,44,65,54,219,1278,26,0.677,
395,47,67,52,215,1334,26,0.701,
396,49,67,51,213,1382,28,0.731,
397,52,68,57,211,1391,30,0.765,
398,64,68,51,211,1198,29,0.941,
399,81,73,42,206,1464,30,1.110,
400,96,86,33,194,1571,27,1.116,
401,99,89,32,192,1393,27,1.112,
402,102,88,29,192,1202,29,1.159,
403,70,86,29,196,1316,32,0.814,
404,32,69,64,213,1279,31,0.464,
405,27,69,65,214,1197,31,0.391,
406,25,67,63,216,1172,31,0.373,
407,25,67,62,216,1191,32,0.373,
408,25,67,63,216,1169,33,0.373,
409,25,68,63,216,1160,33,0.368,
410,26,64,64,218,1133,33,0.406,
411,30,60,62,220,1080,34,0.500,
412,25,60,65,220,1063,34,0.417,
413,24,60,65,220,1050,33,0.400,
414,24,60,65,220,1040,32,0.400,
415,24,60,65,220,1050,33,0.400,
416,31,65,61,218,1176,26,0.477,
417,30,65,62,218,1171,12,0.462,
418,29,66,63,218,1163,6,0.439,
419,29,66,63,218,1134,4,0.439,
420,29,66,63,218,1157,2,0.439,
421,28,65,64,219,1133,1,0.431,
422,28,65,64,219,1315,1,0.431,
423,35,79,60,211,2180,1,0.443,
424,47,97,54,202,3579,1,0.485,
425,29,117,63,181,2681,1,0.248,
426,13,151,71,147,1571,1,0.086,
427,3,153,76,119,415,1,0.020,
428,1,134,77,101,134,1,0.007,
429,1,133,77,102,71,1,0.008,
430,1,130,77,102,20,1,0.008,
431,27,71,65,215,1201,32,0.380,
432,27,71,65,215,1180,17,0.380,
433,28,71,65,215,1191,9,0.394,
434,27,71,66,215,1169,5,0.380,
435,27,70,66,216,1168,3,0.386,
436,28,70,66,216,1156,1,0.400,
437,27,70,67,216,1350,1,0.386,
438,33,75,66,214,1959,1,0.440,
439,47,89,59,208,3283,1,0.528,
440,33,109,66,187,2825,1,0.303,
441,15,171,75,125,2053,1,0.088,
442,5,149,80,107,629,1,0.034,
443,1,140,82,94,140,1,0.007,
444,1,139,82,94,78,1,0.007,
445,1,134,82,95,25,1,0.007,
446,31,65,68,218,1176,26,0.477,
447,30,65,68,218,1171,12,0.462,
448,29,66,68,218,1163,6,0.439,
449,29,66,68,218,1134,4,0.439,
450,29,66,68,218,1157,2,0.439,
451,28,65,68,219,1133,1,0.431,
452,28,65,68,219,1315,1,0.431,
453,35,79,65,211,2180,1,0.443,
454,47,97,59,202,3579,1,0.485,
455,29,117,68,181,2681,1,0.248,
456,13,151,76,147,1571,1,0.086,
457,3,153,81,119,415,1,0.020,
458,1,134,82,101,134,1,0.007,
459,1,133,82,102,71,1,0.008,
460,1,130,82,102,20,1,0.008,
461,27,71,68,215,1201,32,0.380,
462,27,71,68,215,1180,17,0.380,
463,28,71,67,215,1191,9,0.394,
464,27,71,67,215,1169,5,0.380,
465,27,70,67,216,1168,3,0.386,
466,28,70,66,216,1156,1,0.400,
467,27,70,66,216,1350,1,0.386,
468,33,75,61,214,1959,1,0.440,
469,47,89,54,208,3283,1,0.528,
470,33,109,61,187,2825,1,0.303,
471,15,171,70,125,2053,1,0.088,
472,5,149,75,107,629,1,0.034,
473,1,140,77,94,140,1,0.007,
474,1,139,77,94,78,1,0.007,
475,1,134,77,95,25,1,0.007,
476,29,65,64,219,1172,26,0.446,
477,29,65,63,219,1193,26,0.446,
478,30,66,62,218,1241,26,0.455,
479,37,66,59,218,1254,26,0.561,
480,41,66,58,218,1278,26,0.621,
481,42,65,59,218,1272,26,0.646,
482,40,65,62,218,1259,26,0.615,
483,39,65,63,217,1249,27,0.600,
484,38,64,64,217,1227,26,0.594,
485,34,64,66,217,1212,26,0.531,
486,31,64,68,217,1181,26,0.484,
487,29,64,69,217,1164,26,0.453,
488,29,64,69,217,1137,27,0.453,
489,30,64,68,217,1145,26,0.469,
490,33,66,67,217,1204,26,0.500,
491,31,74,63,218,1313,28,0.419,
492,36,76,60,218,1271,27,0.474,
493,35,76,62,218,1236,27,0.461,
494,30,67,63,218,1246,26,0.448,
495,30,68,63,217,1254,29,0.441,
496,30,71,63,214,1277,29,0.423,
497,35,76,58,209,1322,29,0.461,
498,37,79,56,206,1331,29,0.468,
499,39,81,54,204,1288,29,0.481,
500,28,70,67,216,1173,32,0.400,
501,29,69,67,217,1188,33,0.420,
502,30,69,67,217,1232,29,0.435,
503,32,68,67,218,1262,27,0.471,
504,34,67,65,218,1263,26,0.507,
505,34,66,63,219,1251,26,0.515,
506,36,65,61,219,1228,26,0.554,
507,36,64,60,219,1212,27,0.563,
508,35,63,59,219,1181,27,0.556,
509,33,61,60,220,1161,26,0.541,
510,31,61,61,220,1137,27,0.508,
511,30,61,62,220,1106,26,0.492,
512,28,61,63,220,1074,26,0.459,
513,30,61,63,220,1116,26,0.492,
514,34,67,60,218,1256,29,0.507,
515,30,71,67,216,1375,33,0.423,
516,32,71,67,216,1336,34,0.451,
517,35,71,67,216,1300,34,0.493,
518,30,71,67,216,1300,33,0.423,
519,30,71,67,216,1308,34,0.423,
520,33,71,67,216,1331,34,0.465,
521,38,75,67,212,1376,34,0.507,
522,40,77,67,210,1385,34,0.519,
523,43,80,67,207,1342,34,0.537,
524,29,65,67,219,1172,26,0.446,
525,29,65,68,219,1193,26,0.446,
526,30,66,68,218,1241,26,0.455,
527,37,66,64,218,1254,26,0.561,
528,41,66,61,218,1278,26,0.621,
529,42,65,59,218,1272,26,0.646,
530,40,65,58,218,1259,26,0.615,
531,39,65,58,217,1249,27,0.600,
532,38,64,58,217,1227,26,0.594,
533,34,64,60,217,1212,26,0.531,
534,31,64,61,217,1181,26,0.484,
535,29,64,62,217,1164,26,0.453,
536,29,64,62,217,1137,27,0.453,
537,30,64,62,217,1145,26,0.469,
538,33,66,60,217,1204,26,0.500,
539,31,74,66,218,1313,28,0.419,
540,36,76,64,218,1271,27,0.474,
541,35,76,63,218,1236,27,0.461,
542,30,67,67,218,1246,26,0.448,
543,30,68,67,217,1254,29,0.441,
544,30,71,67,214,1277,29,0.423,
545,35,76,67,209,1322,29,0.461,
546,37,79,67,206,1331,29,0.468,
547,39,81,67,204,1288,29,0.481,
548,28,70,65,216,1173,32,0.400,
549,29,69,64,217,1188,33,0.420,
550,30,69,63,217,1232,29,0.435,
551,32,68,61,218,1262,27,0.471,
552,34,67,61,218,1263,26,0.507,
553,34,66,63,219,1251,26,0.515,
554,36,65,63,219,1228,26,0.554,
555,36,64,64,219,1212,27,0.563,
556,35,63,66,219,1181,27,0.556,
557,33,61,67,220,1161,26,0.541,
558,31,61,68,220,1137,27,0.508,
559,30,61,68,220,1106,26,0.492,
560,28,61,69,220,1074,26,0.459,
561,30,61,67,220,1116,26,0.492,
562,34,67,66,218,1256,29,0.507,
563,30,71,63,216,1375,33,0.423,
564,32,71,61,216,1336,34,0.451,
565,35,71,58,216,1300,34,0.493,
566,30,71,63,216,1300,33,0.423,
567,30,71,63,216,1308,34,0.423,
568,33,71,60,216,1331,34,0.465,
569,38,75,55,212,1376,34,0.507,
570,40,77,53,210,1385,34,0.519,
571,43,80,50,207,1342,34,0.537,
572,31,65,65,218,1130,26,0.477,
573,29,64,66,218,1148,26,0.453,
574,26,65,67,218,1145,25,0.400,
575,29,66,64,218,1150,26,0.439,
576,31,67,62,218,1146,26,0.463,
577,35,68,60,218,1233,26,0.515,
578,37,68,59,218,1308,26,0.544,
579,37,68,59,218,1332,26,0.544,
580,37,67,59,218,1314,26,0.552,
581,35,66,60,218,1264,26,0.530,
582,31,64,62,218,1171,26,0.484,
583,27,64,64,218,1151,24,0.422,
584,24,65,67,218,1125,26,0.369,
585,27,66,67,218,1148,26,0.409,
586,30,66,66,218,1111,26,0.455,
587,32,65,65,219,1119,26,0.492,
588,36,69,63,217,1295,32,0.522,
589,34,69,64,217,1258,32,0.493,
590,31,69,66,217,1218,32,0.449,
591,28,68,67,217,1193,32,0.412,
592,23,67,70,217,1187,32,0.343,
593,26,67,67,217,1171,32,0.388,
594,32,67,64,217,1141,32,0.478,
595,35,66,62,217,1150,32,0.530,
596,32,66,63,217,1167,32,0.485,
597,28,66,65,217,1194,32,0.424,
598,27,67,66,217,1218,32,0.403,
599,28,67,67,217,1202,32,0.418,
600,31,69,66,217,1220,32,0.449,
601,34,70,64,217,1292,32,0.486,
602,36,69,63,217,1314,32,0.522,
603,36,69,63,217,1313,32,0.522,
604,31,65,64,218,1130,26,0.477,
605,29,64,65,218,1148,26,0.453,
606,26,65,67,218,1145,25,0.400,
607,29,66,67,218,1150,26,0.439,
608,31,67,67,218,1146,26,0.463,
609,35,68,65,218,1233,26,0.515,
610,37,68,64,218,1308,26,0.544,
611,37,68,64,218,1332,26,0.544,
612,37,67,64,218,1314,26,0.552,
613,35,66,65,218,1264,26,0.530,
614,31,64,67,218,1171,26,0.484,
615,27,64,69,218,1151,24,0.422,
616,24,65,69,218,1125,26,0.369,
617,27,66,66,218,1148,26,0.409,
618,30,66,64,218,1111,26,0.455,
619,32,65,63,219,1119,26,0.492,
620,36,69,61,217,1295,32,0.522,
621,34,69,62,217,1258,32,0.493,
622,31,69,63,217,1218,32,0.449,
623,28,68,65,217,1193,32,0.412,
624,23,67,67,217,1187,32,0.343,
625,26,67,67,217,1171,32,0.388,
626,32,67,64,217,1141,32,0.478,
627,35,66,63,217,1150,32,0.530,
628,32,66,65,217,1167,32,0.485,
629,28,66,67,217,1194,32,0.424,
630,27,67,67,217,1218,32,0.403,
631,28,67,65,217,1202,32,0.418,
632,31,69,63,217,1220,32,0.449,
633,34,70,62,217,1292,32,0.486,
634,36,69,61,217,1314,32,0.522,
635,36,69,61,217,1313,32,0.522,
636,31,65,61,218,1176,26,0.477,
637,30,65,62,218,1171,26,0.462,
638,29,66,63,218,1163,26,0.439,
639,29,66,63,218,1134,26,0.439,
640,29,66,63,218,1157,26,0.439,
641,28,65,64,219,1133,26,0.431,
642,28,65,64,219,1164,26,0.431,
643,27,65,65,219,1159,26,0.415,
644,29,65,64,219,1188,26,0.446,
645,30,65,63,219,1197,27,0.462,
646,29,66,63,218,1183,27,0.439,
647,29,66,63,218,1171,26,0.439,
648,29,66,63,218,1177,26,0.439,
649,30,65,62,218,1172,26,0.462,
650,30,65,62,218,1168,26,0.462,
651,30,65,62,218,1160,26,0.462,
652,27,71,65,215,1201,32,0.380,
653,27,71,65,215,1180,32,0.380,
654,28,71,65,215,1191,32,0.394,
655,27,71,66,215,1171,32,0.380,
656,27,70,66,216,1170,32,0.386,
657,28,70,66,216,1156,32,0.400,
658,27,70,67,216,1148,32,0.386,
659,27,70,67,216,1163,32,0.386,
660,27,70,67,216,1151,32,0.386,
661,28,70,66,216,1146,33,0.400,
662,27,70,66,216,1150,32,0.386,
663,27,70,66,216,1133,32,0.386,
664,27,71,66,215,1158,32,0.380,
665,26,71,66,215,1148,33,0.366,
666,26,71,66,215,1159,32,0.366,
667,26,71,66,215,1190,32,0.366,
668,31,65,68,218,1176,26,0.477,
669,30,65,68,218,1171,26,0.462,
670,29,66,68,218,1163,26,0.439,
671,29,66,68,218,1134,26,0.439,
672,29,66,68,218,1157,26,0.439,
673,28,65,68,219,1133,26,0.431,
674,28,65,68,219,1164,26,0.431,
675,27,65,68,219,1159,26,0.415,
676,29,65,67,219,1188,26,0.446,
677,30,65,67,219,1197,27,0.462,
678,29,66,68,218,1183,27,0.439,
679,29,66,68,218,1171,26,0.439,
680,29,66,68,218,1177,26,0.439,
681,30,65,68,218,1172,26,0.462,
682,30,65,68,218,1168,26,0.462,
683,30,65,68,218,1160,26,0.462,
684,27,71,68,215,1201,32,0.380,
685,27,71,68,215,1180,32,0.380,
686,28,71,67,215,1191,32,0.394,
687,27,71,67,215,1171,32,0.380,
688,27,70,67,216,1170,32,0.386,
689,28,70,66,216,1156,32,0.400,
690,27,70,66,216,1148,32,0.386,
691,27,70,66,216,1163,32,0.386,
692,27,70,66,216,1151,32,0.386,
693,28,70,66,216,1146,33,0.400,
694,27,70,67,216,1150,32,0.386,
695,27,70,67,216,1133,32,0.386,
696,27,71,67,215,1158,32,0.380,
697,26,71,68,215,1148,33,0.366,
698,26,71,68,215,1159,32,0.366,
699,26,71,68,215,1190,32,0.366,
700,59,51,55,249,2096,11,1.157,
